Round 0,,,,,,,,,,
time spent,7.931157589,,,,,,,,,
,,,,,,,,,,
Round 9,,,,,,,,,,
30,1880.044366,,,,,,,,,
60,1308.456083,,,,,,,,,
90,895.0099471,,,,,,,,,
120,885.5535088,,,,,,,,,
150,869.6223565,,,,,,,,,
180,1022.401272,,,,,,,,,
210,1108.003433,,,,,,,,,
240,961.4292533,,,,,,,,,
270,880.7058787,,,,,,,,,
300,895.3028506,,,,,,,,,
330,772.0849656,,,,,,,,,
360,705.9670139,,,,,,,,,
390,553.3488975,,,,,,,,,
420,430.5167769,,,,,,,,,
450,519.6890486,,,,,,,,,
480,565.7010581,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
167.7678793,,,,,,,,,,
411,434,196,420,454,407,421,417,427,427, 
time spent,19.28106117,,,,,,,,,
,,,,,,,,,,
30,1826.546291,,,,,,,,,
60,1188.686626,,,,,,,,,
90,984.0295848,,,,,,,,,
120,1059.923269,,,,,,,,,
150,995.1891759,,,,,,,,,
180,660.4827869,,,,,,,,,
210,612.1979038,,,,,,,,,
240,700.8187519,,,,,,,,,
270,654.4880807,,,,,,,,,
300,641.9818287,,,,,,,,,
330,695.0208531,,,,,,,,,
360,804.0162522,,,,,,,,,
390,812.9227112,,,,,,,,,
420,827.9130882,,,,,,,,,
450,790.9526393,,,,,,,,,
480,908.5643683,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
302.8832949,,,,,,,,,,
416,415,-512,415,421,386,427,-304,206,427, 
time spent,17.522506,,,,,,,,,
,,,,,,,,,,
30,1276.481749,,,,,,,,,
60,402.4596058,,,,,,,,,
90,119.5525861,,,,,,,,,
120,64.04040667,,,,,,,,,
150,27.79939033,,,,,,,,,
180,16.10611592,,,,,,,,,
210,11.67364187,,,,,,,,,
240,11.59301265,,,,,,,,,
270,10.62371635,,,,,,,,,
300,9.886629308,,,,,,,,,
330,8.997618695,,,,,,,,,
360,7.561178638,,,,,,,,,
390,7.024238734,,,,,,,,,
420,6.787246015,,,,,,,,,
450,6.740324603,,,,,,,,,
480,6.567347052,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
4.850742798,,,,,,,,,,
421.8362372,421.3625852,419.14579,422.6620344,419.3127475,423.4863579,416.8459829,420.7392474,421.7772497,423.1125039, 
time spent,7.662735701,,,,,,,,,
,,,,,,,,,,
30,1331.216394,,,,,,,,,
60,408.0084783,,,,,,,,,
90,191.900579,,,,,,,,,
120,130.2384458,,,,,,,,,
150,70.18003304,,,,,,,,,
180,63.85075967,,,,,,,,,
210,38.01001713,,,,,,,,,
240,23.57819099,,,,,,,,,
270,18.52528119,,,,,,,,,
300,12.61659205,,,,,,,,,
330,10.32439239,,,,,,,,,
360,9.2960547,,,,,,,,,
390,6.402845357,,,,,,,,,
420,1.544599194,,,,,,,,,
450,0.846304604,,,,,,,,,
480,0.818481576,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
0.798916568,,,,,,,,,,
421.1332815,420.5728719,419.8812247,420.7513484,420.2694582,420.0455756,421.0436619,422.7649195,421.2691834,421.4705262, 
time spent,7.697472095,,,,,,,,,
