Round 0,,,,,,,,,,
180,870.4055693,,,,,,,,,
210,941.1136094,,,,,,,,,
240,716.4139653,,,,,,,,,
270,804.0929885,,,,,,,,,
300,742.4088776,,,,,,,,,
330,936.074196,,,,,,,,,
360,1033.437303,,,,,,,,,
390,961.4402816,,,,,,,,,
420,938.2985636,,,,,,,,,
450,834.5511097,,,,,,,,,
480,726.1581567,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
655.2249559,,,,,,,,,,
448,-304,395,452,399,423,413,-304,454,409, 
time spent,17.60264182,,,,,,,,,
,,,,,,,,,,
30,1596.239687,,,,,,,,,
60,1068.166455,,,,,,,,,
90,967.9861968,,,,,,,,,
120,931.8542144,,,,,,,,,
150,916.4237434,,,,,,,,,
180,968.7298545,,,,,,,,,
210,1052.096746,,,,,,,,,
240,812.2350983,,,,,,,,,
270,491.8786084,,,,,,,,,
300,452.8787106,,,,,,,,,
330,654.0206514,,,,,,,,,
360,784.3606113,,,,,,,,,
390,819.6202862,,,,,,,,,
420,786.3771511,,,,,,,,,
450,657.5137711,,,,,,,,,
480,595.0993537,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
326.1939223,,,,,,,,,,
381,-287,426,432,403,411,425,416,431,408, 
time spent,16.57504344,,,,,,,,,
,,,,,,,,,,
30,1532.044048,,,,,,,,,
60,630.3700773,,,,,,,,,
90,253.8127251,,,,,,,,,
120,152.5182687,,,,,,,,,
150,71.15151297,,,,,,,,,
180,49.95205133,,,,,,,,,
210,24.02085638,,,,,,,,,
240,15.64591444,,,,,,,,,
270,11.38710144,,,,,,,,,
300,7.515773848,,,,,,,,,
330,4.880717518,,,,,,,,,
360,4.216909245,,,,,,,,,
390,3.938949633,,,,,,,,,
420,3.840221103,,,,,,,,,
450,2.977178038,,,,,,,,,
480,2.658814274,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
1.671712487,,,,,,,,,,
420.2041683,424.2436914,422.2272579,420.6883708,420.7342377,420.8170674,421.0931042,420.8054395,421.2573732,420.7186751, 
time spent,7.65857172,,,,,,,,,
,,,,,,,,,,
30,2533.66891,,,,,,,,,
60,1762.143996,,,,,,,,,
90,1150.9983,,,,,,,,,
120,864.4434596,,,,,,,,,
150,561.7178295,,,,,,,,,
180,405.0628739,,,,,,,,,
210,221.6799874,,,,,,,,,
240,154.7796692,,,,,,,,,
270,102.5524451,,,,,,,,,
300,40.25089692,,,,,,,,,
330,15.73189871,,,,,,,,,
360,11.45118548,,,,,,,,,
390,10.82930792,,,,,,,,,
420,8.065280229,,,,,,,,,
450,4.94122786,,,,,,,,,
480,4.740732177,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
1.793129917,,,,,,,,,,
419.8821511,419.1146244,421.0322235,420.6992534,421.1380268,421.5117479,420.9277507,421.5416439,418.1700974,421.989728, 
time spent,7.796840668,,,,,,,,,
,,,,,,,,,,
Round 3,,,,,,,,,,
30,1478.080761,,,,,,,,,
60,1275.949647,,,,,,,,,
90,827.4756166,,,,,,,,,
120,784.3940296,,,,,,,,,
150,824.1728042,,,,,,,,,
180,825.9720041,,,,,,,,,
210,675.4101791,,,,,,,,,
240,574.9990186,,,,,,,,,
270,531.1543806,,,,,,,,,
300,578.1167612,,,,,,,,,
330,608.0560523,,,,,,,,,
360,587.7799264,,,,,,,,,
390,530.0577607,,,,,,,,,
420,535.4789611,,,,,,,,,
450,615.3269559,,,,,,,,,
480,633.7687724,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
315.7933428,,,,,,,,,,
426,192,418,417,431,-313,419,394,411,447, 
time spent,18.16132069,,,,,,,,,
,,,,,,,,,,
30,1498.696371,,,,,,,,,
60,923.8070753,,,,,,,,,
90,657.4175148,,,,,,,,,
120,855.8301244,,,,,,,,,
150,820.5944693,,,,,,,,,
180,937.8062264,,,,,,,,,
210,991.1600403,,,,,,,,,
240,974.5727228,,,,,,,,,
270,984.6183596,,,,,,,,,
300,924.4616257,,,,,,,,,
330,792.6991798,,,,,,,,,
360,847.3070326,,,,,,,,,
390,945.0119209,,,,,,,,,
420,802.1229191,,,,,,,,,
450,749.5923521,,,,,,,,,
480,832.8483362,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
572.4378624,,,,,,,,,,
-319,414,432,419,420,454,-260,219,414,438, 
time spent,17.23386312,,,,,,,,,
,,,,,,,,,,
30,1557.191895,,,,,,,,,
60,455.2891158,,,,,,,,,
90,143.5367578,,,,,,,,,
120,55.72008622,,,,,,,,,
150,30.67141897,,,,,,,,,
180,24.47472161,,,,,,,,,
210,20.84108787,,,,,,,,,
240,16.44801994,,,,,,,,,
270,13.47447754,,,,,,,,,
300,11.57113695,,,,,,,,,
330,8.855625378,,,,,,,,,
360,4.960959693,,,,,,,,,
390,3.341430433,,,,,,,,,
420,2.581450233,,,,,,,,,
450,2.244317926,,,,,,,,,
480,1.629547938,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
1.569965735,,,,,,,,,,
420.6451675,421.5700134,421.0112887,419.6952109,423.1031288,419.8865507,420.9589541,421.1475222,422.7338128,419.7547321, 
time spent,7.42414093,,,,,,,,,
,,,,,,,,,,
30,2386.472893,,,,,,,,,
60,1641.333046,,,,,,,,,
90,1123.477537,,,,,,,,,
120,971.5481454,,,,,,,,,
150,680.1968338,,,,,,,,,
180,413.6756356,,,,,,,,,
210,139.9163985,,,,,,,,,
240,35.76850671,,,,,,,,,
270,20.93643589,,,,,,,,,
300,13.62346026,,,,,,,,,
330,6.209399415,,,,,,,,,
360,5.724230661,,,,,,,,,
390,5.726336433,,,,,,,,,
420,5.317211001,,,,,,,,,
450,5.111418233,,,,,,,,,
480,4.850342806,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
3.942363023,,,,,,,,,,
421.1711461,421.4774077,420.1942434,420.8154918,421.3527474,419.7321676,420.1197415,417.6246086,424.0757024,418.3024162, 
time spent,8.085031986,,,,,,,,,
,,,,,,,,,,
Round 4,,,,,,,,,,
30,1626.894672,,,,,,,,,
60,1197.996948,,,,,,,,,
90,1063.679538,,,,,,,,,
120,1092.059925,,,,,,,,,
150,947.6865643,,,,,,,,,
180,793.817471,,,,,,,,,
210,763.1232226,,,,,,,,,
240,812.1434891,,,,,,,,,
270,1094.534444,,,,,,,,,
300,1142.123376,,,,,,,,,
330,1285.475228,,,,,,,,,
360,1082.421794,,,,,,,,,
390,1016.282919,,,,,,,,,
420,969.4644948,,,,,,,,,
450,910.792459,,,,,,,,,
480,809.2266009,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
326.4115917,,,,,,,,,,
-330,421,417,433,-295,426,411,453,436,401, 
time spent,18.88813376,,,,,,,,,
,,,,,,,,,,
30,1648.955085,,,,,,,,,
60,1257.452336,,,,,,,,,
90,991.4980012,,,,,,,,,
120,859.7912404,,,,,,,,,
150,1002.720906,,,,,,,,,
