================,,,
Normal with aver over 30,,,
================,,,
GA1:,,,
fitness, slope,,
2421.996342,-210.0228186,,
2211.973523,-236.8234838,,
1975.150039,-166.0017867,,
1809.148253,-60.68914958,,
1748.459103,-122.0033649,,
1626.455738,-56.03049948,,
1570.425239,-79.9624957,,
1490.462743,-86.80785293,,
1403.65489,-54.93116424,,
1348.723726,-65.09450154,,
1283.629224,-53.57216488,,
1230.057059,-49.01305969,,
1181.044,-22.43790553,,
1158.606094,-12.00946262,,
1146.596632,-32.04744089,,
1114.549191,-33.88550159,,
1080.663689,-8.512549264,,
1072.15114,-43.74935455,,
1028.401785,-20.47157864,,
1007.930207,-27.84921148,,
980.0809951,-3.740064754,,
976.3409304,-17.66953237,,
958.671398,-21.5281548,,
937.1432432,-16.83944688,,
920.3037963,-8.0094827,,
912.2943136,-8.292552677,,
904.0017609,-4.498731745,,
899.5030292,-9.612633505,,
889.8903957,-24.43725071,,
865.453145,-9.994270232,,
855.4588748,-9.338784077,,
846.1200907,-18.97546823,,
827.1446224,-7.825952937,,
819.3186695,-3.961704719,,
815.3569648,-10.46080243,,
804.8961624,-22.45545521,,
782.4407071,-1.17086042,,
781.2698467,-13.07478786,,
768.1950589,-12.58564434,,
755.6094145,-0.687865963,,
754.9215486,-5.447677909,,
749.4738706,-17.41797528,,
732.0558954,-4.726282544,,
727.3296128,-2.53852154,,
724.7910913,-0.39728292,,
724.3938084,-6.645228274,,
717.7485801,-9.195003232,,
708.5535769,-4.383852085,,
704.1697248,-3.81772697,,
700.3519978,-9.832359833,,
690.519638,-10.73528403,,
679.7843539,-4.795807965,,
674.988546,-2.653850773,,
672.3346952,-9.902457354,,
662.4322378,1.249762893,,
663.6820007,0.184345668,,
663.8663464,-0.668417575,,
663.1979288,-5.382440602,,
657.8154882,-0.996598271,,
656.81889,-4.005150951,,
652.813739,-5.127021886,,
647.6867171,-0.527498011,,
647.1592191,-9.296187322,,
637.8630318,-2.884076973,,
634.9789548,-1.633754218,,
633.3452006,-0.322774469,,
633.0224261,-5.408664176,,
627.613762,-0.175599079,,
627.4381629,-5.205354934,,
622.2328079,-2.672372161,,
619.5604358,-8.54800312,,
611.0124327,-1.817635067,,
609.1947976,-1.612799693,,
607.5819979,-0.637888719,,
606.9441092,-3.892216765,,
603.0518924,-0.071281125,,
602.9806113,-5.901165396,,
597.0794459,-5.293580328,,
591.7858656,-4.368559705,,
587.4173059,0.422691871,,
587.8399977,-1.490117852,,
586.3498799,0.456348196,,
586.8062281,-5.98362848,,
580.8225996,-0.483632985,,
580.3389666,-1.749695995,,
578.5892706,-7.209713323,,
571.3795573,-1.208490709,,
570.1710666,-5.849920383,,
564.3211462,-0.335953278,,
563.9851929,-2.527521561,,
561.4576714,0.026406392,,
561.4840778,0.181337028,,
561.6654148,1.202984151,,
562.8683989,-0.114846952,,
562.753552,-2.122323497,,
560.6312285,-3.108179644,,
557.5230488,-3.785914811,,
553.737134,-0.007878591,,
553.7292554,0.707312691,,
554.4365681,-4.470760002,,
549.9658081,-1.395419279,,
548.5703888,-2.24943554,,
546.3209533,-0.880444691,,
545.4405086,-1.97413232,,
543.4663763,0.917832952,,
544.3842092,-3.997941183,,
540.3862681,-0.427274371,,
539.9589937,-0.050531637,,
539.9084621,-3.342627117,,
536.5658349,-2.466105267,,
534.0997297,0.39484642,,
534.4945761,-2.914908977,,
531.5796671,-0.713377843,,
530.8662893,0.122718254,,
530.9890075,-2.15343624,,
528.8355713,-0.428254181,,
528.4073171,-2.258579758,,
526.1487373,-3.781129388,,
522.367608,-0.748996048,,
521.6186119,-0.153064295,,
521.4655476,-2.470356339,,
518.9951913,-3.29478518,,
515.7004061,-4.254901708,,
511.4455044,-0.006135214,,
511.4393692,-0.759972154,,
510.679397,-1.732139661,,
508.9472574,-0.397693893,,
508.5495635,-0.509427706,,
508.0401358,-2.421282226,,
505.6188535,0.175821012,,
505.7946745,-5.677460704,,
500.1172138,-0.394880668,,
499.7223332,-1.444539006,,
498.2777942,-0.46049194,,
497.8173022,-0.332859084,,
497.4844431,-1.782548752,,
495.7018944,-3.433765585,,
492.2681288,-1.827802029,,
490.4403268,-0.003058579,,
490.4372682,-5.368041296,,
485.0692269,-0.343135201,,
484.7260917,0.163887174,,
484.8899789,-2.269013198,,
482.6209657,-1.192188317,,
481.4287774,-1.441017502,,
479.9877599,-2.965007408,,
477.0227525,2.177314812,,
479.2000673,-1.044213267,,
478.155854,-0.290260596,,
477.8655934,-5.283978742,,
472.5816147,-1.762185754,,
470.8194289,-0.191624193,,
470.6278047,-0.636385303,,
469.9914194,-0.191608414,,
469.799811,-1.757221253,,
468.0425897,-0.664796342,,
467.3777934,-0.629104782,,
466.7486886,-0.760140005,,
465.9885486,-0.059388436,,
465.9291602,-0.009543018,,
465.9196172,0.012587791,,
465.932205,-0.031754073,,
465.9004509,0.046857006,,
465.9473079,-0.846122905,,
465.101185,-3.305109647,,
461.7960753,-0.500879416,,
461.2951959,-1.626772133,,
459.6684238,0.396878043,,
460.0653018,-3.70262895,,
456.3626729,-1.589644353,,
454.7730285,-0.326873546,,
454.446155,-0.880931945,,
453.565223,-0.001433664,,
453.5637894,-0.795485302,,
452.7683041,-1.716987887,,
451.0513162,1.516189809,,
452.567506,-0.740832254,,
451.8266737,0.003207862,,
451.8298816,-0.742891878,,
451.0869897,-0.62886941,,
450.4581203,-0.751822847,,
449.7062975,-0.255507041,,
449.4507904,-0.170524488,,
449.2802659,-0.559022243,,
448.7212437,-1.126105955,,
447.5951377,-0.203321464,,
447.3918163,-0.258714113,,
447.1331022,0.3804024,,
447.5135046,-1.309767778,,
446.2037368,-0.467478039,,
445.7362587,-2.089534836,,
443.6467239,-0.932835248,,
442.7138887,0.871957808,,
443.5858465,-0.024191669,,
443.5616548,0.951941049,,
444.5135958,-0.20903086,,
444.304565,-1.008534405,,
443.2960306,-1.575912524,,
441.7201181,-6.83E-05,,
441.7200498,-0.162264723,,
441.557785,-0.208759158,,
441.3490259,-0.549479853,,
440.799546,-0.283881783,,
440.5156642,-0.802134099,,
439.7135301,0.75030231,,
440.4638324,-3.828366869,,
436.6354656,-0.446887041,,
436.1885785,-0.069271697,,
436.1193068,-0.292777157,,
435.8265297,-2.735835026,,
433.0906947,-0.561611405,,
