Round 0
30, 32644.927119207474
60, 31382.536365743737
90, 30605.95826129406
120, 28100.119044855765
150, 27555.13093220772
180, 27555.13093220772
210, 27555.13093220772
240, 27555.13093220772
270, 27555.13093220772
300, 27555.13093220772
330, 27555.13093220772
360, 27555.13093220772
390, 27555.13093220772
420, 27555.13093220772
450, 27555.13093220772
480, 27555.13093220772
binary_GA_uniform_CO:
27555.13093220774
-489, 408, 374, 428, 439, 47, -260, -103, 134, 213, 257, 219, -243, -310, 58, 473, -298, -188, 461, -215, 422, 117, -288, -112, 102, 456, 41, -301, 461, 210, 44, -512, 176, 434, 174, -185, -350, -268, 405, 82, 384, 56, -287, 369, 471, 206, -510, -10, -172, -112, -5, 108, 254, 432, 412, -392, 171, -511, 369, 365, 41, 450, -509, -289, -346, -183, 419, -341, 462, 137, 424, 430, 3, 377, 448, 409, -488, -171, 202, -76, -2, 413, -326, 16, 355, -362, -220, -302, 429, -22, -316, -508, -88, -311, 420, 419, 161, 150, 450, -273, 
time spent, 202.4411859512329

30, 32428.308977025798
60, 31301.410353038103
90, 30115.500372440154
120, 29236.79790681448
150, 28054.41626417218
180, 27758.796540279352
210, 27463.176816386524
240, 27463.176816386524
270, 27463.176816386524
300, 27463.176816386524
330, 27450.372708736682
360, 27424.764493437004
390, 27463.176816386524
420, 27463.176816386524
450, 26914.882325476032
480, 26288.260050149755
binary_GA_2point_CO:
26288.260050149755
-290, -302, 210, 254, 150, -119, -123, 214, 224, 196, 222, 399, 420, -361, -313, 370, -20, -315, 235, -148, 417, -148, 424, 2, 7, -303, 48, -307, 483, 454, -153, 401, 374, 486, -124, 503, -320, -501, 422, 125, 478, 482, 236, -273, -507, 81, -75, -286, -135, 410, 503, 441, -282, -250, -313, -97, 469, 190, 424, 225, -173, 418, -259, 370, -254, -326, -129, -248, -280, -268, -328, 9, -501, 404, -504, -159, 421, -163, 443, 452, 439, 199, -21, -484, -330, 198, 369, -505, 203, -268, 423, -204, -296, 381, -472, 238, -328, 100, 437, 144, 
time spent, 192.36759209632874

30, 29793.7749955065
60, 23747.13729576304
90, 21874.838225814674
120, 20016.693805490177
150, 19457.01477438238
180, 18080.388883380565
210, 17383.758193571022
240, 17077.404765442927
270, 16619.25826321836
300, 16213.606553400494
330, 15832.499915578275
360, 15671.701461512104
390, 15665.602621421112
420, 15327.697864387188
450, 14824.529833859593
480, 14476.590387730796
real_GA_uniform_CO:
14396.180748965555
184.58233738026627, -335.71155296916515, -295.13412919353163, 417.23879614082693, 181.1681161514823, 203.50588705152904, 185.19385326122517, 423.46518147539757, 455.6468495750868, -134.85299997820698, 444.7555625270703, -107.88463222100916, 378.5021327050298, 384.531024899238, -125.24138941562899, 399.98439945968425, 205.26250895379303, 74.85518113194269, 409.80068701098435, 379.891402061863, 429.17786602389185, -279.33866082538225, 434.6034098756596, 440.77148019976505, -334.24691760298816, 417.06288286407187, 435.2128192079348, 67.40594596225696, 389.9466185043301, 198.87049131246124, 427.792641599225, -317.49425135960166, 393.3197833051199, 77.52788494042954, -342.9765575773136, 478.38407623234843, 434.8256638053738, -319.00937740845563, 384.8275791640357, 393.0546214309312, -332.183262927815, 374.24972192422297, -8.765270115883823, 461.5318638853462, 418.701229275429, 108.03034846082016, 455.66313203539505, 435.57926497214646, 435.4701721400495, -298.0958854227067, 381.51286932817857, 235.83283480784996, 423.39074639354544, 201.4223423313813, 183.04485660434227, 417.03419137013066, 398.1131495903612, 432.50622501637224, 395.718538911539, 430.6038570302329, 371.1018084282365, 469.730544073034, 406.97438165589165, -251.7733618653777, 392.55832354993095, 422.958305348109, 408.5884484123908, 432.1146655323421, -309.81373135144304, -296.77785819156594, 430.831689608441, 428.43912055516216, -270.6673334308077, 438.660860076562, 407.4039549148025, 416.81675824063905, 429.9650526812219, -283.34612435900027, 471.77887310576875, -306.6070375078216, 426.7726189370344, 413.8884679875466, 100.95058584450919, -70.96694851230507, 411.3821610490247, 446.2144226860988, 444.78828652714014, 383.9713901527641, 440.0520631366736, 420.8699038085904, -321.23136227135353, -278.75149085689077, 435.0156932729442, -353.965183992256, 410.11785025249173, 196.10682784696905, 422.31746691254784, 435.4424463356304, 435.59725432295306, 421.6478785079307, 
time spent, 84.49589419364929

30, 31827.510287202404
60, 28128.33125505943
90, 24601.87807190071
120, 23579.311043945676
150, 22240.08986004023
180, 20847.56874078979
210, 19790.267744427714
240, 19349.564939201107
270, 18982.98004274556
300, 18405.647741530487
330, 18215.43432566032
360, 18011.80614732374
390, 17885.228018818863
420, 17808.56913546409
450, 16868.783453525386
480, 15705.195656229198
real_GA_whole_arithmetic_CO:
15171.39849802685
